
He 650	BCA-2-1-Wuhan	2025-10-14T09:44:21	time_sec	5 amu	5 amu	5 amu	5 amu	5 amu	5 amu
2.006	1.413143E-14	1.406090E-14	1.548774E-14	9.093632E-15	8.178677E-15	6.379752E-15
10.117	2.930277E-15	6.593930E-14	3.196299E-14	1.230102E-14	6.249761E-15	3.978118E-15
18.231	1.957683E-14	1.599964E-14	1.552200E-14	1.404679E-14	4.106185E-17	9.427043E-15
26.356	1.416448E-13	2.391179E-14	1.849359E-14	2.279329E-15	9.920920E-15	6.749060E-15
34.468	2.946400E-14	1.696497E-14	4.498600E-14	2.751921E-14	4.160883E-15	2.099081E-15
42.573	2.076184E-14	6.537701E-15	2.091903E-14	1.097796E-14	1.552654E-14	1.827141E-15
50.684	5.845238E-14	3.607626E-14	5.552208E-15	7.617410E-15	1.270761E-14	4.819008E-15
58.794	1.165259E-14	2.962545E-16	1.860847E-14	8.847261E-16	1.157298E-15	7.000845E-15
66.802	2.887955E-14	8.504657E-15	1.126262E-14	6.718579E-15	6.857381E-15	8.459061E-15
74.920	2.614678E-14	6.650524E-17	2.412138E-14	3.365560E-16	8.980272E-15	1.383858E-14
83.026	6.698928E-15	1.766228E-14	1.925640E-15	1.557339E-14	8.917781E-17	2.894503E-15
91.136	4.022984E-14	3.868208E-14	5.763829E-16	1.517638E-14	3.441180E-16	1.027184E-14
99.245	1.449419E-14	1.027209E-14	8.486517E-15	1.497886E-15	1.298622E-14	9.002186E-15
107.350	1.314795E-14	3.692069E-14	1.339483E-14	1.096385E-14	9.851898E-15	4.631208E-15
115.361	3.998401E-15	1.356714E-14	7.606830E-15	1.592104E-14	1.138403E-15	9.848620E-16
123.468	4.501824E-14	1.360342E-14	3.588279E-15	7.215857E-15	5.065762E-15	3.775704E-15
131.579	2.729551E-14	1.264211E-14	1.963527E-14	8.581237E-15	5.733588E-15	4.774798E-15
139.695	3.981468E-14	2.317619E-14	1.466448E-14	4.497692E-15	7.705076E-15	1.214986E-15
147.805	2.122133E-14	1.923826E-14	1.202139E-14	6.913559E-15	8.696103E-16	4.569994E-15
155.914	7.561487E-15	2.964336E-14	1.020156E-14	1.154628E-14	8.833403E-15	1.142863E-14
164.025	2.544947E-14	3.060668E-14	1.019450E-14	1.472998E-14	1.143115E-14	6.249008E-15
172.136	3.162443E-14	1.682793E-15	5.566318E-15	7.244072E-15	9.923947E-15	8.677849E-15
180.247	2.450228E-14	2.994766E-15	2.158408E-15	1.220982E-14	3.028013E-16	1.624600E-15
188.259	2.667882E-14	2.050186E-14	1.893999E-14	1.247989E-15	5.857279E-15	6.947944E-15
196.371	1.880295E-14	2.023785E-14	1.234183E-14	9.359154E-15	8.617262E-15	9.439255E-16
204.474	3.417179E-14	5.368816E-15	1.794442E-14	2.261191E-15	2.893749E-15	6.526365E-15
212.579	1.798876E-14	2.701538E-14	4.631206E-15	3.286484E-15	2.484638E-15	6.667942E-15
220.689	2.061270E-14	6.221297E-15	2.332029E-14	5.370830E-15	2.588178E-15	8.582620E-15
228.798	3.364377E-14	1.565905E-15	8.348468E-15	1.235392E-15	8.844992E-15	1.048597E-14
236.902	3.802508E-14	3.732374E-15	1.474106E-14	9.724430E-15	1.736275E-14	4.832997E-16
245.008	2.694081E-14	4.820648E-15	8.452257E-15	1.407349E-14	1.100466E-14	1.216913E-14
253.014	1.114875E-14	1.380495E-14	4.100876E-14	1.078751E-14	4.826682E-16	8.575186E-15
261.119	7.539316E-14	1.404880E-14	1.361349E-15	7.532767E-15	2.681132E-15	8.502240E-17
269.225	5.816217E-15	4.433705E-16	3.522782E-15	1.337518E-14	3.758561E-16	1.423761E-14
277.337	8.823076E-15	1.215239E-14	2.696600E-14	4.565206E-15	8.637417E-15	8.927241E-15
