"DID #","Survey","First Generation Status","Gender","Transfer Student","Upper v Lower","Race/Ethnicity","Class Level","J_total","T_total","Major","STEM"
164,"Pre","Yes","Woman","No","U","Hispanic/Latino","Junior",66,48,"Health Sciences","Non-STEM"
165,"Pre","Yes","Woman","No","L","Pacific Islander","Junior",76,56,"Nursing","Non-STEM"
166,"Pre","Yes","Woman","No","L","Asian","Sophomore",89,60,"Nursing","Non-STEM"
167,"Pre","Yes","Woman","No","L","White","Sophomore",86,54,"Public Health","Non-STEM"
168,"Pre","No","Woman","Yes","U","Asian","Senior",80,47,"Health Sciences","Non-STEM"
169,"Pre","No","Woman","No","L","White","Freshmen",83,55,"Health Sciences","Non-STEM"
170,"Pre","No","Woman","Yes","U","African American","Senior",69,48,"Biological Sciences","STEM"
171,"Pre","No","Man","No","L","White","Sophomore",79,46,"Biological Sciences","STEM"
172,"Pre","No","Man","No","U","Hispanic/Latino","Senior",71,56,"Biological Sciences","STEM"
173,"Pre","No","Woman","No","U","Asian","Senior",86,58,"Biological Sciences","STEM"
174,"Pre","Yes","Woman","Yes","L","Hispanic/Latino","Senior",81,54,"Public Health","Non-STEM"
175,"Pre","Yes","Woman","Yes","U","White","Senior",63,40,"Biological Sciences","STEM"
176,"Pre","No","Woman","Yes","U","Two or More","Senior",59,41,"Biological Sciences","STEM"
177,"Pre",NA,NA,NA,"U",NA,NA,72,40,"Kinesiology","Non-STEM"
178,"Pre","No","Woman","No","L","White","Sophomore",80,54,"Kinesiology","Non-STEM"
179,"Pre","No","Woman","No","L","Hispanic/Latino","Junior",70,55,"Health Sciences","Non-STEM"
180,"Pre","Yes","Woman","No","L","Asian","Junior",80,51,"Biological Sciences","STEM"
181,"Pre","No","Woman","No","L","White","Junior",89,51,"Biological Sciences","STEM"
182,"Pre","Yes","Woman","No","L","Hispanic/Latino","Sophomore",76,48,"Kinesiology","Non-STEM"
183,"Pre","Yes","Woman","No","U","Two or More","Junior",55,40,"Nursing","Non-STEM"
184,"Pre","No","Woman","Yes","U","Hispanic/Latino","Sophomore",78,46,"Kinesiology","Non-STEM"
185,"Pre","Yes","Man","Yes","U","Asian","Senior",75,56,"Biological Sciences","STEM"
186,"Pre","Yes","Woman","No","L","Hispanic/Latino","Sophomore",66,54,"Nursing","Non-STEM"
187,"Pre","No","Man","No","U","Asian","Senior",76,39,"Health Sciences","Non-STEM"
188,"Pre","No","Woman","Yes","U","Two or More","Senior",68,49,"Health Sciences","Non-STEM"
189,"Pre","No","Woman","No","U","Hispanic/Latino","Senior",78,54,"Biological Sciences","STEM"
190,"Pre","No","Woman","Yes","U","White","Senior",75,43,"Biological Sciences","STEM"
191,"Pre","No","Woman","No","U","Hispanic/Latino","Senior",61,40,"Biological Sciences","STEM"
192,"Pre","No","Other","No","U","White","Senior",76,45,"Biological Sciences","STEM"
193,"Pre","Yes","Woman","Yes","U","Hispanic/Latino","Senior",93,56,"Biological Sciences","STEM"
194,"Pre","Yes","Woman","Yes","U","Hispanic/Latino","Senior",56,41,"Biological Sciences","STEM"
195,"Pre","No","Woman","Yes","L","Asian","Junior",82,52,"Health Sciences","Non-STEM"
196,"Pre","Yes","Woman","No","U","Asian","Senior",93,55,"Biological Sciences","STEM"
197,"Pre","No","Woman","Yes","U","White","Senior",94,52,"Biological Sciences","STEM"
198,"Pre","Yes","Woman","No","U","Hispanic/Latino","Senior",64,49,"Kinesiology","Non-STEM"
199,"Pre","No","Woman","No","U","White","Senior",73,48,"Biological Sciences","STEM"
200,"Pre","No","Woman","No","U","Hispanic/Latino","Senior",74,52,"Biological Sciences","STEM"
201,"Pre","No","Woman","No","U","Asian","Junior",82,54,"Biological Sciences","STEM"
202,"Pre","No","Woman","No","U","Asian","Senior",88,43,"Biological Sciences","STEM"
203,"Pre","No","Woman","Yes","U","Asian","Senior",57,32,"Biological Sciences","STEM"
204,"Pre","No","Woman","Yes","U","Asian","Senior",64,46,"Biological Sciences","STEM"
205,"Pre","No","Woman","No","U","Hispanic/Latino","Senior",64,41,"Biological Sciences","STEM"
206,"Pre","No","Woman","Yes","U","Hispanic/Latino","Senior",82,54,"Health Sciences","Non-STEM"
207,"Pre","Yes","Man","Yes","U","White","Senior",79,54,"Biological Sciences","STEM"
208,"Pre","No","Man","Yes","U","White","Senior",62,42,"Biological Sciences","STEM"
209,"Pre","No","Woman","Yes","U","African American","Senior",81,54,"Biological Sciences","STEM"
210,"Pre","No","Woman","Yes","U","Hispanic/Latino","Senior",80,51,"Biological Sciences","STEM"
211,"Pre","No","Woman","Yes","U","White","Senior",93,56,"Biological Sciences","STEM"
212,"Pre","No","Woman","Yes","U","White","Senior",85,53,"Biological Sciences","STEM"
213,"Pre","No","Woman","No","U","African American","Senior",71,49,"Biological Sciences","STEM"
214,"Pre","No","Woman","No","U","Asian","Junior",88,55,"Biological Sciences","STEM"
215,"Pre","No","Woman","Yes","U","Hispanic/Latino","Senior",91,51,"Biological Sciences","STEM"
216,"Pre","No","Woman","No","L","African American","Sophomore",75,44,"Undeclared","Non-STEM"
217,"Pre","No","Woman","Yes","U","Two or More","Junior",80,57,"Biological Sciences","STEM"
218,"Pre","No","Man","Yes","U","Hispanic/Latino","Junior",91,44,"Biological Sciences","STEM"
219,"Pre","Yes","Woman","Yes","U","Hispanic/Latino","Senior",81,46,"Biological Sciences","STEM"
220,"Pre","No","Woman","No","U","Two or More","Senior",73,53,"Biological Sciences","STEM"
221,"Pre","No","Woman","No","U","Asian","Senior",77,51,"Biological Sciences","STEM"
222,"Pre","No","Woman","No","U","Hispanic/Latino","Senior",92,55,"Biological Sciences","STEM"
223,"Pre","Yes","Woman","Yes","U",NA,"Senior",79,51,"Biological Sciences","STEM"
224,"Pre","No","Woman","Yes","U","White","Senior",80,49,"Biological Sciences","STEM"
225,"Pre","No","Woman","Yes","U","Asian","Senior",68,48,"Biological Sciences","STEM"
226,"Pre","No","Woman","No","U","Two or More","Junior",84,42,"Kinesiology","Non-STEM"
227,"Pre","No","Woman","Yes","L","Two or More","Junior",71,51,"Health Sciences","Non-STEM"
228,"Pre","No","Woman","Yes","U","Asian","Senior",64,38,"Biological Sciences","STEM"
229,"Pre","No","Woman","No","L","White","Sophomore",68,50,"Health Sciences","Non-STEM"
230,"Pre","Yes","Woman","Yes","U","Hispanic/Latino","Senior",67,32,"Biological Sciences","STEM"
231,"Pre","Yes","Woman","No","U","Hispanic/Latino","Junior",70,50,"Biological Sciences","STEM"
